Question,Question_eng,Trigger,prediction,prob_0,prob_1,confidence,correct
ماهي اسباب ألم منطقة الابهر في الظهر مع طقطقة الظهر الدائمة مع العلم ان عمري ٢١ عام,"What are the causes of pain in the aortic area in the back with constant back cracking, knowing that I am 21 years old?",0,1,0.29511380195617676,0.7048861980438232,0.7048861980438232,False
ظننت ان الدورة الشهرية انتهت فعندها جامعت زوجي تفاجئت بنزول الدم اريد ان اعرف لماذا نزل مني الدم بالرغم ان خرج مني دم بني؟,"I thought my menstrual cycle had ended, so I had intercourse with my husband. I was surprised by the bleeding. I want to know why the blood came out of me even though I had brown blood coming out?",0,1,0.2192145735025406,0.7807854413986206,0.7807854413986206,False
السﻻم عليكم ورحمة الله وبركاته اعانى من تورم فى كفوف اليد والقدم و خصوصا عند الاستيقاظ من النوم و موخرا تورم كف يدى اليمين دون باقى الاطراف وذلك عقب استخدام...,"May the peace, mercy, and blessings of God be upon you. I suffer from swelling in the palms of my hands and feet, especially when I wake up from sleep, and recently swelling of the palm of my right hand, but not the rest of the limbs, after using...",0,0,0.665799081325531,0.3342009484767914,0.665799081325531,True
أما بركض بحس أن بطني عم توجعني ة بحس بشئ زي هيك شئ بارد بحلقي هل هادي الأشياء طبيعيه ولا شو بالضبط,"When I run, I feel like my stomach is hurting. I feel something like this, something cold in my throat. Are these things normal or what exactly?",0,0,0.8129016757011414,0.1870983988046646,0.8129016757011414,True
"انا عندي متلازمه القولون العصبي
بدي حل 24 ساعه وجع بطن بس يخلص دوا من الدكتور
اذا في دوا قوي كثير تنصحوني فيه لانه انتفاخ والم مش طبيعي في بطني...","I have irritable bowel syndrome
I need a 24-hour solution for the stomach ache, but the doctor will get rid of it
If there is a strong medication that you can advise me to take because it is bloating and pain that is not normal in my stomach...",1,1,0.0012326479190960526,0.9987673163414001,0.9987673163414001,True
عندي التهاب في اللثة وفي سقف الحلق فما هو العلاج,I have inflammation of the gums and the roof of the throat. What is the treatment?,1,1,0.43822070956230164,0.5617793202400208,0.5617793202400208,True
هل تنمو ساركوما الانسجه الرخوه الزليلي في الفخذ من الخلف؟؟,Does synovial soft tissue sarcoma grow in the thigh from the back??,1,1,0.2835451662540436,0.7164548635482788,0.7164548635482788,True
انا تزوجت مند 3 اشهر وبعد زواجي انقطعت مني افرازات تماما ماسبب ذلك؟وهل عدم وجود افرزات يمنع الحمل ؟,"I got married 3 months ago, and after my marriage, my secretions stopped completely. What is the reason for this? Does the absence of secretions prevent pregnancy?",0,1,0.4378998577594757,0.5621001124382019,0.5621001124382019,False
دكتور ابنتي لما بتحرك حالها بيظل عظامها بيطقو أحيانا شو السبب مع العلم عمرها خمس أشهر وولدتها قيصرية ومافي حدا بالعيله عندو مشاكل وبترضع صناعي أكثر من الطبيعي ولم تأخذ...,"Doctor, when my daughter moves around, her bones keep shaking sometimes. What is the reason, knowing that she is five months old and was born by cesarean section, and there is no one in the family who has problems, and she is artificially breastfed more than naturally, and she did not take...",0,1,0.21257713437080383,0.7874228954315186,0.7874228954315186,False
عاجل رجاءا طفلي عمره سنة ونصف دخل في عينه منظف الطباخ لااعلم الكميه غسلت عينه زال الاحمرار ونام مازلت قلقه هل استخدم له قطرات معقمة رجاء الاجابة بسرعة,Urgent please. My child is a year and a half old. Cooker cleaner got into his eye. I don’t know the amount. I washed his eye. The redness went away and he fell asleep. I am still worried. Should I use sterilizing drops for him? Please answer quickly.,1,1,0.0012010709615424275,0.9987989664077759,0.9987989664077759,True
"أعاني بكثرة من تساقط الشعر وبشكل غير طبيعي
وألاحظ هذا الشيئ عند الاستحمام وسقوط كمية كبيرة من الشعر
وايضا عند تسريح الشعر ألاحظ سقوط وبشكل كبير
علماً بأنني شاب أبلغ...","I suffer from a lot of abnormal hair loss
I notice this thing when I take a shower and a large amount of hair falls out
Also, when I brush my hair, I notice significant hair loss
Note that I am a young man...",1,1,0.4920153021812439,0.5079846978187561,0.5079846978187561,True
اعاني من النحافه الشديده وضعف الشهيه ارجو المساعده,I suffer from extreme thinness and poor appetite. Please help,1,1,0.0080545200034976,0.9919455051422119,0.9919455051422119,True
"مرحبا
انا ابلغ من العمر 13 سنة و أعاني مشكلة مع الدورة الشهرية حيث تظل لوقت طويل و ايضا لا يوجد دم كثير بل قليل جدا و الغريب لا اشعر...","Welcome
I am 13 years old and I suffer from a problem with my menstrual cycle, which lasts for a long time and also there is not a lot of blood, but very little, and strangely enough, I do not feel...",0,0,0.5079178810119629,0.4920820891857147,0.5079178810119629,True
أريد حل لمشكلتي طول قضيبي حوالي ٧ سم وزوجتي ليس لها الرغبة بعمل معي علاقة أريد الحل لزيادة طول قضيبي وجعله مثير جدا,"I want a solution to my problem. My penis is about 7 cm long, and my wife has no desire to have a relationship with me. I want a solution to increase the length of my penis and make it very sexy.",0,1,0.24963222444057465,0.7503677606582642,0.7503677606582642,False
دخلت إلى الحمام بعد أخي بنصف ساعة ولمست يدي سطحا رطبا لا أدري أن كان فيه مني ولمست مهبلي بالخطأ بعدها هل من الممكن الحمل أنا خائفة جدا وقلقة ..علما...,"I went into the bathroom half an hour after my brother, and I touched my hand on a wet surface. I don’t know if there was semen on it, and I accidentally touched my vagina after that. Is it possible to get pregnant? I’m very afraid and anxious... Note...",0,1,0.28746795654296875,0.7125320434570312,0.7125320434570312,False
"ذهبت الي الطيب وطلب فحص هرمونات وكانت fsh6.2
E28.3
Pr4.5هل هي طبيعيه وهل احتاج الى دواء وشكرا","I went to the doctor and asked for a hormone test and it was FSH6.2
E28.3
Pr4.5 Is it normal and do I need medication? Thank you",0,1,0.3736809194087982,0.6263190507888794,0.6263190507888794,False
اجريت فحص للبكاره ورائيت قطعه ورديه تغطي سطح المهبل وفي الاسفل عل اليمين اشبه بالفتحه الورديه تفرز سائل ابيض علما اني لم ادخل شيئا في المهبل فقط هاجس الخوف,"I had a virginity examination and saw a pink piece covering the surface of the vagina, and at the bottom on the right, it looked like a pink hole secreting a white fluid. Note that I did not insert anything into the vagina, only a premonition of fear.",0,0,0.6323851346969604,0.36761483550071716,0.6323851346969604,True
عمري 21 سنة وهذه نتائج تحليل هرمونات الغدة الدرقية لدي كالاتى: نتيجة الtsh هي2.01 بينما نسبته الطبيعية ما بين0.55 الى4.78 نتيجة الfree t3هى3.2 بينما نسبته ما بين2.1 الي4.4 نتيجة الfree...,"I am 21 years old, and the results of my thyroid hormone analysis are as follows: The TSH result is 2.01, while its normal percentage is between 0.55 to 4.78. The free T3 result is 3.2, while its percentage is between 2.1 to 4.4 as a result of the free...",0,1,0.33371299505233765,0.6662870049476624,0.6662870049476624,False
انا انسان بستخدم الشيشه تقريبا كل يومين او ثلاث ايام مره ولاحظت لما استخدمها نبضات قلبي بتوصل فوق ال ٩٠ .. هل هذا طبيعي ام هناك مشكله,"I am a person who uses a hookah approximately once every two or three days, and I noticed that when I use it, my heart rate reaches above 90. Is this normal or is there a problem?",0,0,0.6663030385971069,0.33369696140289307,0.6663030385971069,True
ضهرت لي حبة صغيرة تحت الجلد من تحت الاذن اليمنى منذ اكثر من اسبوعين وهذه الايام احس بالم خفيف قرب الاذن,"I had a small pimple appear under the skin under my right ear more than two weeks ago, and these days I feel a slight pain near the ear.",1,1,0.273607462644577,0.7263925671577454,0.7263925671577454,True
السلام عليكم أنـا مشكلتي ان لي من بعد الولاده سبع شهور ودائما تجي لي الاستحاضه يعني اربع مرات في الشهر كل مره تضل اربع ايام او ثلاث ايام رحت لدكتوره...,"Peace be upon you, my problem is that I have seven months after giving birth and I always have istihaadah, which means four times a month, and each time it lasts for four or three days. I went to a doctor...",0,1,0.495477557182312,0.504522442817688,0.504522442817688,False
الوالدة تعاني من الم قرب منطقة القلب ويمتد للكتف والرقبة يستمر 10دقائق اجرت فحوصات وتم عمل قسطرة لها وقال لها الطبيب تم ازالة بعض الاشياء العالقة في الشراين وقام باعطائها...,The mother suffers from pain near the heart area that extends to the shoulder and neck and lasts for 10 minutes. She underwent tests and a catheterization was performed on her. The doctor told her that some objects stuck in the arteries had been removed and he gave her...,1,1,0.19313594698905945,0.8068640828132629,0.8068640828132629,True
امارس بعض من تمارين منذ اسبوعين بشكل يومي. وحاولت منع القذف ولم استطع.للعلم امارس العادة السرية بالاسبوع مرة واحدة.واقذف خلال ثواني..عمري 19 هل هذا طبيعي في عمري؟,"I have been doing some exercises for two weeks on a daily basis. I tried to prevent ejaculation, but I could not. For your information, I masturbate once a week, and I ejaculate within seconds. I am 19 years old. Is this normal at my age?",0,1,0.4723980724811554,0.527601957321167,0.527601957321167,False
"صداع قوي جدا لدرجة اني اشعر بالغثيان واتقياء في بعض الاحيان وكأن هنالك شيء يضغط على دماغي ولا استطيع الانحناء للاسفل يزداد
الصداع يبدا من اعلى رأس الا اسفل عنقي...","A very strong headache, to the point that I feel nauseous and vomit sometimes, as if there is something pressing on my brain, and I cannot bend down. It increases.
The headache starts from the top of my head to the bottom of my neck...",1,1,0.3569170832633972,0.6430829167366028,0.6430829167366028,True
